id,domaine,severite,statut,titre,preuve,impact,reproduction,cause,recommandation,effort,fichier,ligne
F-001,securite/auth,P1,corrige_lot1,Middleware de protection des routes inerte (proxy.ts non enregistre par Next 16),"next build (EXIT 0) puis .next/server/middleware-manifest.json => middleware:[], sortedMiddleware:[], functions:[]; 0 mention de middleware/proxy dans le log de build","Aucune redirection edge: utilisateur non authentifie non redirige vers /connexion; redirection auth-only morte. Enforcement data reste cote API (guards) donc pas de fuite directe, mais gate d auth UI totalement inoperant","Build web puis inspecter middleware-manifest.json; runtime: curl -I http://localhost:3000/tableau-de-bord sans cookie => attendu 307, observe 200",Fichier nomme proxy.ts au lieu de middleware.ts; Next 16.2.12 ne reconnait pas proxy.ts comme middleware,Renommer proxy.ts -> src/middleware.ts (export nomme middleware) OU confirmer la convention Next16 exacte; ajouter test E2E de redirection,S,Elintys-web/proxy.ts,28
F-002,securite/auth,P2,corrige_lot1,Pas de rate-limit dedie sur /auth/login et /auth/forgot-password,"grep '@Throttle' src/modules/auth => 0 hits; seul ThrottlerGuard global 100req/60s (app.module.ts:47,65)",~100 tentatives de mot de passe/min possibles par IP; brute-force facilite; viole la checklist securite du CLAUDE.md API,Envoyer >100 POST /auth/login/min => throttle seulement au global,"ThrottlerModule.forRoot global unique, aucun @Throttle specifique",Ajouter @Throttle strict (ex 5/min) sur login et forgot-password,S,Elintys-api/src/modules/auth/auth.controller.ts,0
F-003,architecture/frontend,P2,confirme,Double arborescence de routes dashboard (routes fantomes / code mort potentiel),(dashboard)/prestataire/* ET (dashboard)/tableau-de-bord/prestataire/*; idem gestionnaire; enfants divergents,"Confusion navigation, duplication logique, risque d incoherence, maintenance doublee",ls src/app/(dashboard)/prestataire vs .../tableau-de-bord/prestataire,Migration de hierarchie de routes non terminee,"Choisir une seule hierarchie, supprimer l autre, rediriger",M,Elintys-web/src/app/(dashboard),0
F-004,securite/autorisation,P2,corrige_lot1,Prefixes de roles top-level absents de PROTECTED_PREFIXES,proxy.ts PROTECTED_PREFIXES ne contient pas /organisateur /prestataire /gestionnaire (seulement /tableau-de-bord etc.),"Meme avec middleware fonctionnel, /organisateur /prestataire /gestionnaire non gates cote edge",Lire proxy.ts:7-18,Oubli lors de l ajout des routes role top-level,Ajouter les prefixes OU supprimer les routes dupliquees (voir F-003),S,Elintys-web/proxy.ts,7
F-005,maintenabilite/frontend,P2,confirme,Composant monolithe EventCreationSteps.tsx (1513 LOC),"wc -l => 1513 (puis OnboardingFlow 700, EventMediaManager 604, ProfileExperience 527)","Illisible, difficile a tester, couplage fort, re-renders couteux",find src -name '*.tsx' | wc -l trie,Wizard de creation non decompose en sous-composants/steps,Decouper par etape en composants + hooks; extraire logique dans features/events/lib,L,Elintys-web/src/components/events/create/EventCreationSteps.tsx,1
F-006,devex/backend,P2,confirme,npx tsc --noEmit echoue (TS6059) alors que c est la commande de verif documentee,npx tsc --noEmit => error TS6059 test/event-access.e2e-spec.ts not under rootDir 'src'; nest build (tsconfig.build.json) EXIT 0,La verif 'verification-before-completion' du CLAUDE.md API echoue; risque CI cassee,cd Elintys-api && npx tsc --noEmit,tsconfig.json inclut test/ hors rootDir=src; pas de script typecheck dedie,Ajouter script typecheck avec tsconfig dedie excluant/incluant test correctement,S,Elintys-api/tsconfig.json,0
F-007,dette/backend,P3,confirme,10 dossiers vides '{dto}' (artefact mkdir brace-expansion),find src -type d -name '{dto}' => 10 dossiers vides a cote des vrais dto/,"Bruit de repo, confusion, faux positifs de recherche",find Elintys-api/src -type d -name '{dto}',mkdir -p src/modules/x/{dto} en sh sans brace expansion,Supprimer les 10 dossiers '{dto}' vides,S,Elintys-api/src/modules,0
F-008,dette/frontend,P3,confirme,Drift doc/code: axios installe alors que CLAUDE.md l interdit; zustand documente mais absent,package.json:35 axios@1.19.0 present; node_modules/zustand absent; CLAUDE.md interdit axios et impose zustand,Decisions basees sur une stack documentee fausse,Lire CLAUDE.md vs package.json,CLAUDE.md non maintenu,"Mettre a jour CLAUDE.md (Next16, axios/fetch, zustand ou non, Node22, Render)",S,Elintys-web/package.json,35
F-009,dette/backend,P3,confirme,30 acces directs a process.env alors que CLAUDE.md impose ConfigService.getOrThrow(),"grep -rn 'process.env' src => 30 (ex main.ts:27,30,36)","Config non centralisee/typée, risque de valeurs manquantes non detectees",grep -rn process.env Elintys-api/src,Regle non appliquee uniformement,Router les acces via ConfigService typé,M,Elintys-api/src/main.ts,27
F-010,securite/observabilite,P3,confirme,Swagger expose sur le deploiement dev (NODE_ENV=production + ENABLE_SWAGGER=true),render.yaml: NODE_ENV=production ET ENABLE_SWAGGER=true => /api/docs public,"Surface d API enumerable publiquement (acceptable en dev, a cloisonner avant prod publique)",Ouvrir https://<dev-api>/api/docs,Config voulue en dev,Desactiver Swagger ou le proteger avant prod publique,S,Elintys-api/render.yaml,20
F-011,tests/backend,P3,confirme,Fuite de handles ouverts dans la suite Jest (teardown incorrect),jest: 'A worker process has failed to exit gracefully ... tests leaking due to improper teardown',"CI instable/lente, risque de faux verts, timers non unref",npm test dans Elintys-api,Timers/connexions non fermes en afterAll,"Ajouter teardown (unref timers, close connexions); --detectOpenHandles pour localiser",M,Elintys-api/src,0
F-012,qualite/frontend,P3,confirme,11 warnings ESLint React Compiler/hooks,"eslint: setState-in-effect (ThemeContext.tsx:21, useMediaQuery.ts:10), ref-in-render (lenis.tsx:42), incompatible-library RHF watch (RegisterStep1Form.tsx:78)","Re-renders en cascade, UI potentiellement obsolete, memoization desactivee",npm run lint dans Elintys-web,Patterns non conformes React Compiler,"Corriger selon reco React (deriver l etat, eviter setState-in-effect)",M,Elintys-web/src/contexts/ThemeContext.tsx,21
F-013,tests/backend,P2,confirme,Couverture API sous les seuils declares (test:cov EXIT 1),"jest --coverage: statements 68.48% (seuil 80), branches 55.38% (seuil 70), functions 55% (seuil 80), lines 70.15% (seuil 80); 335 tests passent mais seuils non atteints",La commande de couverture CI echoue; discipline 80% du CLAUDE.md non tenue; branches/functions faibles = chemins d erreur peu testes,cd Elintys-api && npm run test:cov => EXIT 1,"Nouveaux modules (events, media, access) peu couverts sur branches/fonctions",Remonter la couverture (cibler branches d erreur/guards) ou ajuster seuils sciemment,L,Elintys-api/package.json,93
F-014,tests/frontend,P2,confirme,4 tests web echouent sous couverture (timeouts 5s) alors que npm test passe,"npm run test:coverage => EXIT 1, 4 tests timeout: EventCreationWizard.test.tsx (2), RegisterStep1Form.test.tsx (2) 'Test timed out in 5000ms'; npm test (sans coverage) => 155 pass",Faux vert: le npm test simple masque l echec de la commande de couverture (celle utilisee en CI); tests instables sous charge,cd Elintys-web && npm run test:coverage,"Instrumentation V8 ralentit les tests userEvent lourds au-dela de 5s; composants lourds (RHF watch, wizard)","Augmenter testTimeout, alleger/decouper les composants, stabiliser userEvent",M,Elintys-web/src/components/events/create/EventCreationWizard.test.tsx,85
