v5_1_id,source_row,domain,feature,description,implementation_directive,source_checkbox,v5_1_phase,v5_1_priority,v5_1_repo,backend_status,frontend_status,integration_status,e2e_status,product_accessibility,overall_status,product_value,launch_dependency,technical_dependencies,risk,effort,missing,recommended_wave,evidence_backend,evidence_frontend,evidence_tests
V51-001,2,Auth & comptes,Inscription utilisateur,"Créer un compte avec prénom, nom, email, mot de passe et rôle principal.","Valider DTO, hash bcrypt 12, refuser rôles sensibles, envoyer email de vérification.",☐,MVP,Critique,API/Web,BACKEND_COMPLETE,FRONTEND_COMPLETE,PARTIALLY_INTEGRATED,E2E_PARTIAL,ROLE_ACCESSIBLE,PARTIAL,CRITICAL,BLOCKER,API-owned HTTP-only session; transactional email delivery for verification/reset paths,HIGH,M,External verification-email delivery and a complete browser registration chain are not proven.,G — Account lifecycle & settings,src/modules/auth/auth.controller.ts; src/modules/auth/auth.service.ts; src/modules/auth/user.schema.ts,src/app/(auth); src/features/auth; src/contexts/AuthContext.tsx,src/modules/auth/*.spec.ts; e2e/functional/auth.spec.ts; e2e/functional/zz-session-cycle.spec.ts
V51-002,3,Auth & comptes,Connexion utilisateur,Authentifier l’utilisateur et créer une session sécurisée.,Retourner access token court et refresh token httpOnly.,☐,MVP,Critique,API/Web,BACKEND_COMPLETE,FRONTEND_COMPLETE,INTEGRATED,E2E_COMPLETE,ROLE_ACCESSIBLE,IMPLEMENTED,CRITICAL,BLOCKER,API-owned HTTP-only session; transactional email delivery for verification/reset paths,HIGH,N/A,None material for the v5.1 row as scoped.,Maintenance only,src/modules/auth/auth.controller.ts; src/modules/auth/auth.service.ts; src/modules/auth/user.schema.ts,src/app/(auth); src/features/auth; src/contexts/AuthContext.tsx,src/modules/auth/*.spec.ts; e2e/functional/auth.spec.ts; e2e/functional/zz-session-cycle.spec.ts
V51-003,4,Auth & comptes,Refresh token,Renouveler l’access token via cookie sécurisé.,"Vérifier refresh token hashé, rotation si possible, SameSite Strict.",☐,MVP,Critique,API/Web,BACKEND_COMPLETE,FRONTEND_COMPLETE,INTEGRATED,E2E_COMPLETE,ROLE_ACCESSIBLE,IMPLEMENTED,CRITICAL,BLOCKER,API-owned HTTP-only session; transactional email delivery for verification/reset paths,HIGH,N/A,None material for the v5.1 row as scoped.,Maintenance only,src/modules/auth/auth.controller.ts; src/modules/auth/auth.service.ts; src/modules/auth/user.schema.ts,src/app/(auth); src/features/auth; src/contexts/AuthContext.tsx,src/modules/auth/*.spec.ts; e2e/functional/auth.spec.ts; e2e/functional/zz-session-cycle.spec.ts
V51-004,5,Auth & comptes,Déconnexion,Révoquer la session active.,Supprimer cookie et invalider refreshTokenHash.,☐,MVP,Critique,API/Web,BACKEND_COMPLETE,FRONTEND_COMPLETE,INTEGRATED,E2E_COMPLETE,ROLE_ACCESSIBLE,IMPLEMENTED,CRITICAL,BLOCKER,API-owned HTTP-only session; transactional email delivery for verification/reset paths,HIGH,N/A,None material for the v5.1 row as scoped.,Maintenance only,src/modules/auth/auth.controller.ts; src/modules/auth/auth.service.ts; src/modules/auth/user.schema.ts,src/app/(auth); src/features/auth; src/contexts/AuthContext.tsx,src/modules/auth/*.spec.ts; e2e/functional/auth.spec.ts; e2e/functional/zz-session-cycle.spec.ts
V51-005,6,Auth & comptes,Profil connecté /me,Retourner l’utilisateur connecté et ses rôles actifs.,Exposer uniquement champs publics nécessaires.,☐,MVP,Critique,API/Web,BACKEND_COMPLETE,FRONTEND_COMPLETE,INTEGRATED,E2E_COMPLETE,ROLE_ACCESSIBLE,IMPLEMENTED,CRITICAL,BLOCKER,API-owned HTTP-only session; transactional email delivery for verification/reset paths,HIGH,N/A,None material for the v5.1 row as scoped.,Maintenance only,src/modules/auth/auth.controller.ts; src/modules/auth/auth.service.ts; src/modules/auth/user.schema.ts,src/app/(auth); src/features/auth; src/contexts/AuthContext.tsx,src/modules/auth/*.spec.ts; e2e/functional/auth.spec.ts; e2e/functional/zz-session-cycle.spec.ts
V51-006,7,Auth & comptes,Vérification email,Activer le compte via lien de vérification.,"Token expirant 24h, usage unique, message frontend clair.",☐,MVP,Critique,API/Web,BACKEND_COMPLETE,FRONTEND_COMPLETE,PARTIALLY_INTEGRATED,E2E_PARTIAL,ROLE_ACCESSIBLE,PARTIAL,CRITICAL,BLOCKER,API-owned HTTP-only session; transactional email delivery for verification/reset paths,HIGH,M,External delivery is unverified and there is no full browser E2E from received email to verified session.,G — Account lifecycle & settings,src/modules/auth/auth.controller.ts; src/modules/auth/auth.service.ts; src/modules/auth/user.schema.ts,src/app/(auth); src/features/auth; src/contexts/AuthContext.tsx,src/modules/auth/*.spec.ts; e2e/functional/auth.spec.ts; e2e/functional/zz-session-cycle.spec.ts
V51-007,8,Auth & comptes,Renvoi email de vérification,Permettre le renvoi du lien de vérification.,"Limiter le débit, éviter énumération email.",☐,MVP,Critique,API/Web,BACKEND_COMPLETE,FRONTEND_COMPLETE,PARTIALLY_INTEGRATED,UNIT_ONLY,ROLE_ACCESSIBLE,PARTIAL,HIGH,DESIRABLE,API-owned HTTP-only session; transactional email delivery for verification/reset paths,LOW,M,"No browser E2E proves resend, external delivery and link consumption.",G — Account lifecycle & settings,src/modules/auth/auth.controller.ts; src/modules/auth/auth.service.ts; src/modules/auth/user.schema.ts,src/app/(auth); src/features/auth; src/contexts/AuthContext.tsx,src/modules/auth/*.spec.ts; e2e/functional/auth.spec.ts; e2e/functional/zz-session-cycle.spec.ts
V51-008,9,Auth & comptes,Mot de passe oublié,Envoyer un lien de réinitialisation.,"Rate limit strict, token expirant 1h.",☐,MVP,Critique,API/Web,BACKEND_COMPLETE,FRONTEND_COMPLETE,PARTIALLY_INTEGRATED,UNIT_ONLY,ROLE_ACCESSIBLE,PARTIAL,CRITICAL,BLOCKER,API-owned HTTP-only session; transactional email delivery for verification/reset paths,HIGH,M,"The page and API exist, but delivery is not externally tested.",G — Account lifecycle & settings,src/modules/auth/auth.controller.ts; src/modules/auth/auth.service.ts; src/modules/auth/user.schema.ts,src/app/(auth); src/features/auth; src/contexts/AuthContext.tsx,src/modules/auth/*.spec.ts; e2e/functional/auth.spec.ts; e2e/functional/zz-session-cycle.spec.ts
V51-009,10,Auth & comptes,Réinitialisation mot de passe,Changer le mot de passe via token valide.,"Re-hasher, invalider token et refresh actifs.",☐,MVP,Critique,API/Web,BACKEND_COMPLETE,FRONTEND_COMPLETE,PARTIALLY_INTEGRATED,UNIT_ONLY,ROLE_ACCESSIBLE,PARTIAL,CRITICAL,BLOCKER,API-owned HTTP-only session; transactional email delivery for verification/reset paths,HIGH,M,"Reset works in code, but no browser E2E starts from a delivered email.",G — Account lifecycle & settings,src/modules/auth/auth.controller.ts; src/modules/auth/auth.service.ts; src/modules/auth/user.schema.ts,src/app/(auth); src/features/auth; src/contexts/AuthContext.tsx,src/modules/auth/*.spec.ts; e2e/functional/auth.spec.ts; e2e/functional/zz-session-cycle.spec.ts
V51-010,11,Auth & comptes,Gestion erreurs auth i18n,Utiliser des codes d’erreur stables côté API.,Retourner codes EN et traduire côté frontend.,☐,MVP,Critique,API/Web,BACKEND_COMPLETE,FRONTEND_PARTIAL,PARTIALLY_INTEGRATED,UNIT_ONLY,ROLE_ACCESSIBLE,PARTIAL,HIGH,DESIRABLE,API-owned HTTP-only session; transactional email delivery for verification/reset paths,LOW,M,Error handling remains French-first and mixed between message files and hard-coded strings.,G — Account lifecycle & settings,src/modules/auth/auth.controller.ts; src/modules/auth/auth.service.ts; src/modules/auth/user.schema.ts,src/app/(auth); src/features/auth; src/contexts/AuthContext.tsx,src/modules/auth/*.spec.ts; e2e/functional/auth.spec.ts; e2e/functional/zz-session-cycle.spec.ts
